iter	CrossEntropy	Accuracy
823	0.3444006773	0.8269736842
824	0.3443757547	0.8270488722
825	0.3443566186	0.8269924812
826	0.3443400389	0.8270864662
827	0.3443070507	0.8270864662
828	0.3442916955	0.8271052632
829	0.3442677702	0.8270488722
830	0.3442470999	0.8270864662
831	0.3442276459	0.8271240602
832	0.3442117876	0.8272368421
833	0.3441746719	0.8272368421
834	0.344155995	0.8271992481
835	0.3441350841	0.8272556391
836	0.3441205218	0.8272368421
837	0.3440982446	0.8272180451
838	0.3440811078	0.8272556391
839	0.3440607312	0.8272556391
840	0.3440332504	0.8273308271
841	0.3440143253	0.8273684211
842	0.3439919773	0.827424812
843	0.3439696988	0.8273684211
844	0.3439443709	0.827387218
845	0.3439155765	0.8273684211
846	0.3438822027	0.827443609
847	0.3438599443	0.827443609
848	0.3438251193	0.8273496241
849	0.343815198	0.8273684211
850	0.3437910107	0.827424812
851	0.3437650717	0.827518797
852	0.3437347669	0.827537594
853	0.3437164381	0.827593985
854	0.3436894275	0.827575188
855	0.3436563862	0.8277443609
856	0.3436480184	0.8277631579
857	0.3436210322	0.8278195489
858	0.3435982539	0.8279323308
859	0.3435778007	0.8279511278
860	0.3435539813	0.8279699248
861	0.3435405235	0.8279511278
862	0.3435197413	0.8279511278
863	0.3434875006	0.8279887218
864	0.3434645268	0.8279887218
865	0.3434436951	0.8279511278
866	0.3434252814	0.8280263158
867	0.3433868752	0.8279699248
868	0.3433606734	0.8280451128
869	0.3433376951	0.8280639098
870	0.3433168013	0.8280639098
871	0.3432973571	0.8280639098
872	0.3432746703	0.8280827068
873	0.3432623011	0.8280827068
874	0.3432406627	0.8281203008
875	0.3432113553	0.8281015038
876	0.3431817611	0.8282330827
877	0.3431515205	0.8281766917
878	0.3431241037	0.8282706767
879	0.3431079409	0.8282894737
880	0.3430781169	0.8281766917
